fecha,id_equipo,nombre_equipo,linea,turno,tipo_paro,categoria_causa,causa_detalle,horas_paro,costo_paro
2024-01-04,4,Fresadora 04,Línea B,Turno 3 (22–06 h),Programado,Programada,Limpieza programada,3.2,37760.0
2024-01-06,7,Rectificadora 07,Línea D,Turno 3 (22–06 h),No programado,Operativa,Error de operario,6.4,76800.0
2024-01-08,6,Torno CNC 06,Línea C,Turno 1 (06–14 h),No programado,Eléctrica,Motor quemado,3.6,52200.0
2024-01-09,1,CNC Alpha 01,Línea A,Turno 1 (06–14 h),No programado,Operativa,Error de operario,5.5,57750.0
2024-01-09,6,Torno CNC 06,Línea C,Turno 3 (22–06 h),Programado,Programada,Calibración,1.3,18850.0
2024-01-14,4,Fresadora 04,Línea B,Turno 1 (06–14 h),No programado,Operativa,Error de operario,1.6,18880.0
2024-01-15,4,Fresadora 04,Línea B,Turno 1 (06–14 h),No programado,Eléctrica,Falla de variador,6.4,75520.0
2024-01-16,6,Torno CNC 06,Línea C,Turno 3 (22–06 h),No programado,Mecánica,Falla de rodamiento,1.6,23200.0
2024-01-17,6,Torno CNC 06,Línea C,Turno 1 (06–14 h),No programado,Operativa,Error de operario,0.8,11600.0
2024-01-19,1,CNC Alpha 01,Línea A,Turno 3 (22–06 h),No programado,Eléctrica,Motor quemado,7.2,75600.0
2024-01-20,7,Rectificadora 07,Línea D,Turno 2 (14–22 h),No programado,Operativa,Error de operario,1.8,21600.0
2024-01-21,6,Torno CNC 06,Línea C,Turno 1 (06–14 h),Programado,Programada,Calibración,1.7,24650.0
2024-01-24,2,CNC Alpha 02,Línea A,Turno 2 (14–22 h),No programado,Mecánica,Falla de rodamiento,1.3,13650.0
2024-01-24,3,Torno CNC 03,Línea B,Turno 1 (06–14 h),No programado,Mecánica,Desalineación de eje,5.0,66000.0
2024-01-24,7,Rectificadora 07,Línea D,Turno 1 (06–14 h),Programado,Programada,Limpieza programada,3.5,42000.0
2024-01-26,7,Rectificadora 07,Línea D,Turno 2 (14–22 h),Programado,Programada,Limpieza programada,2.8,33600.0
2024-01-27,6,Torno CNC 06,Línea C,Turno 3 (22–06 h),Programado,Programada,Mantenimiento preventivo,1.1,15950.0
2024-01-28,8,CNC Delta 08,Línea D,Turno 1 (06–14 h),No programado,Mecánica,Desalineación de eje,2.4,26880.0
2024-01-29,3,Torno CNC 03,Línea B,Turno 1 (06–14 h),No programado,Operativa,Cambio de herramienta no planificado,1.3,17160.0
2024-01-29,4,Fresadora 04,Línea B,Turno 1 (06–14 h),No programado,Operativa,Material fuera de especificación,6.8,80240.0
2024-01-30,3,Torno CNC 03,Línea B,Turno 3 (22–06 h),No programado,Mecánica,Desgaste de herramienta,6.9,91080.0
2024-01-30,7,Rectificadora 07,Línea D,Turno 2 (14–22 h),No programado,Mecánica,Falla de rodamiento,2.2,26400.0
2024-02-02,7,Rectificadora 07,Línea D,Turno 3 (22–06 h),No programado,Eléctrica,Falla de sensor,7.5,90000.0
2024-02-05,6,Torno CNC 06,Línea C,Turno 2 (14–22 h),No programado,Mecánica,Fuga hidráulica,6.3,91350.0
2024-02-06,6,Torno CNC 06,Línea C,Turno 3 (22–06 h),Programado,Programada,Mantenimiento preventivo,2.3,33350.0
2024-02-08,7,Rectificadora 07,Línea D,Turno 3 (22–06 h),No programado,Eléctrica,Motor quemado,2.7,32400.0
2024-02-10,7,Rectificadora 07,Línea D,Turno 1 (06–14 h),No programado,Mecánica,Desgaste de herramienta,6.3,75600.0
2024-02-11,3,Torno CNC 03,Línea B,Turno 1 (06–14 h),Programado,Programada,Mantenimiento preventivo,2.8,36960.0
2024-02-11,7,Rectificadora 07,Línea D,Turno 3 (22–06 h),No programado,Operativa,Material fuera de especificación,6.3,75600.0
2024-02-12,1,CNC Alpha 01,Línea A,Turno 1 (06–14 h),No programado,Operativa,Error de operario,4.3,45150.0
2024-02-13,4,Fresadora 04,Línea B,Turno 2 (14–22 h),No programado,Mecánica,Falla de rodamiento,7.1,83780.0
2024-02-13,6,Torno CNC 06,Línea C,Turno 3 (22–06 h),No programado,Eléctrica,Cortocircuito,3.9,56550.0
2024-02-15,6,Torno CNC 06,Línea C,Turno 3 (22–06 h),No programado,Mecánica,Rotura de correa,3.7,53650.0
2024-02-16,5,Centro Mec. 05,Línea C,Turno 2 (14–22 h),No programado,Eléctrica,Falla de variador,2.2,21560.0
2024-02-19,3,Torno CNC 03,Línea B,Turno 3 (22–06 h),Programado,Programada,Limpieza programada,1.2,15840.0
2024-02-19,6,Torno CNC 06,Línea C,Turno 2 (14–22 h),No programado,Mecánica,Fuga hidráulica,0.6,8700.0
2024-02-20,3,Torno CNC 03,Línea B,Turno 3 (22–06 h),No programado,Operativa,Cambio de herramienta no planificado,8.0,105600.0
2024-02-21,2,CNC Alpha 02,Línea A,Turno 3 (22–06 h),No programado,Operativa,Cambio de herramienta no planificado,1.7,17850.0
2024-02-22,3,Torno CNC 03,Línea B,Turno 2 (14–22 h),No programado,Mecánica,Falla de rodamiento,4.0,52800.0
2024-02-22,7,Rectificadora 07,Línea D,Turno 3 (22–06 h),No programado,Mecánica,Rotura de correa,4.2,50400.0
2024-02-25,7,Rectificadora 07,Línea D,Turno 3 (22–06 h),No programado,Eléctrica,Motor quemado,5.2,62400.0
